purchase_id,customer_id,product_id,purchase_date,quantity,total_amount
1,1,9,4/15/2018 14:08,3,42.75
2,1,9,7/10/2022 23:33,4,57
3,1,6,12/31/2021 3:53,3,80.16
4,1,4,1/14/2017 1:25,2,37.9
5,1,9,4/6/2018 11:01,3,42.75
6,1,13,2/4/2020 10:28,5,130.6
7,1,7,9/21/2023 8:52,5,50
8,2,4,7/31/2021 11:17,5,94.75
9,2,4,11/3/2023 8:21,5,94.75
10,2,12,12/30/2022 1:32,2,60
11,2,13,7/27/2023 15:38,1,26.12
12,2,9,9/14/2023 7:17,2,28.5
13,2,8,12/9/2021 11:20,3,79.56
14,2,14,12/19/2022 10:28,1,21.94
15,2,6,10/22/2021 21:46,3,80.16
16,2,7,7/31/2022 10:35,3,30
17,2,4,3/20/2023 14:08,2,37.9
18,2,2,11/1/2022 10:16,4,33.92
19,2,3,11/24/2022 3:14,4,10.8
20,3,7,3/22/2019 2:00,3,30
21,3,6,9/5/2022 9:27,3,80.16
22,3,5,8/8/2019 6:18,1,17.94
23,3,12,1/9/2023 0:52,5,150
24,3,6,1/17/2019 8:21,3,80.16
25,3,3,1/1/2021 9:33,4,10.8
26,3,4,9/20/2018 10:59,4,75.8
27,3,1,12/27/2019 12:36,1,28.58
28,3,1,5/6/2019 19:44,3,85.74
29,3,8,2/28/2020 1:51,5,132.6
30,3,13,9/25/2018 22:52,5,130.6
31,3,11,9/23/2018 6:12,3,79.56
32,3,13,11/12/2022 0:46,2,52.24
33,3,12,6/3/2020 22:43,2,60
34,4,5,8/5/2020 1:30,1,17.94
35,4,7,7/18/2022 4:54,1,10
36,4,1,2/8/2021 21:17,2,57.16
37,4,12,9/29/2023 20:37,1,30
38,4,7,5/3/2021 11:22,2,20
39,4,5,8/22/2018 6:35,1,17.94
40,4,3,8/23/2019 4:34,1,2.7
41,4,9,7/9/2018 16:22,1,14.25
42,4,10,1/24/2019 17:11,2,30
43,4,7,12/4/2020 9:30,3,30
44,4,13,11/15/2022 2:17,4,104.48
45,4,9,1/18/2019 18:14,5,71.25
46,4,1,7/16/2019 16:18,4,114.32
47,4,1,9/9/2019 20:40,3,85.74
48,4,1,10/17/2020 19:00,4,114.32
49,4,11,12/18/2022 23:56,5,132.6
50,4,11,6/13/2020 10:34,1,26.52
