Employee_ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany
1,41,Yes,Travel_Rarely,Sales,1,FSc,Life Sciences,Female,Sales Executive,4,Single,5993,Yes,3,8,1,6
2,49,No,Travel_Frequently,Research & Development,8,Matric,Life Sciences,Male,Research Scientist,2,Married,5130,No,4,10,3,10
3,37,Yes,Travel_Rarely,Research & Development,2,FSc,Other,Male,Laboratory Technician,3,Single,2090,Yes,3,7,3,0
4,33,No,Travel_Frequently,Research & Development,3,MS,Life Sciences,Female,Research Scientist,3,Married,2909,Yes,3,8,3,8
5,27,No,Travel_Rarely,Research & Development,2,Matric,Medical,Male,Laboratory Technician,2,Married,3468,No,3,6,3,2
6,32,No,Travel_Frequently,Research & Development,2,FSc,Life Sciences,Male,Laboratory Technician,4,Single,3068,No,3,8,2,7
7,59,No,Travel_Rarely,Research & Development,3,BS,Medical,Female,Laboratory Technician,1,Married,2670,Yes,4,12,2,1
8,30,No,Travel_Rarely,Research & Development,24,Matric,Life Sciences,Male,Laboratory Technician,3,Divorced,2693,No,4,1,3,1
9,38,No,Travel_Frequently,Research & Development,23,BS,Life Sciences,Male,Manufacturing Director,3,Single,9526,No,4,10,3,9
10,36,No,Travel_Rarely,Research & Development,27,BS,Medical,Male,Healthcare Representative,3,Married,5237,No,3,17,2,7
11,35,No,Travel_Rarely,Research & Development,16,BS,Medical,Male,Laboratory Technician,2,Married,2426,No,3,6,3,5
12,29,No,Travel_Rarely,Research & Development,15,FSc,Life Sciences,Female,Laboratory Technician,3,Single,4193,Yes,3,10,3,9
13,31,No,Travel_Rarely,Research & Development,26,Matric,Life Sciences,Male,Research Scientist,3,Divorced,2911,No,3,5,2,5
14,34,No,Travel_Rarely,Research & Development,19,FSc,Medical,Male,Laboratory Technician,4,Divorced,2661,No,3,3,3,2
15,28,Yes,Travel_Rarely,Research & Development,24,BS,Life Sciences,Male,Laboratory Technician,3,Single,2028,Yes,3,6,3,4
16,29,No,Travel_Rarely,Research & Development,21,MS,Life Sciences,Female,Manufacturing Director,1,Divorced,9980,No,3,10,3,10
17,32,No,Travel_Rarely,Research & Development,5,FSc,Life Sciences,Male,Research Scientist,2,Divorced,3298,Yes,3,7,2,6
18,22,No,Non-Travel,Research & Development,16,FSc,Medical,Male,Laboratory Technician,4,Divorced,2935,Yes,3,1,2,1
19,53,No,Travel_Rarely,Sales,2,MS,Life Sciences,Female,Manager,4,Married,15427,No,3,31,3,25
20,38,No,Travel_Rarely,Research & Development,2,BS,Life Sciences,Male,Research Scientist,4,Single,3944,Yes,3,6,3,3
21,24,No,Non-Travel,Research & Development,11,FSc,Other,Female,Manufacturing Director,3,Divorced,4011,No,3,5,2,4
22,36,Yes,Travel_Rarely,Sales,9,MS,Life Sciences,Male,Sales Representative,1,Single,3407,No,4,10,3,5
23,34,No,Travel_Rarely,Research & Development,7,MS,Life Sciences,Female,Research Director,2,Single,11994,No,3,13,3,12
24,21,No,Travel_Rarely,Research & Development,15,FSc,Life Sciences,Male,Research Scientist,4,Single,1232,No,3,0,3,0
25,34,Yes,Travel_Rarely,Research & Development,6,Matric,Medical,Male,Research Scientist,1,Single,2960,No,3,8,3,4
26,53,No,Travel_Rarely,Research & Development,5,BS,Other,Female,Manager,3,Divorced,19094,No,3,26,2,14
27,32,Yes,Travel_Frequently,Research & Development,16,Matric,Life Sciences,Female,Research Scientist,1,Single,3919,Yes,4,10,3,10
28,42,No,Travel_Rarely,Sales,8,MS,Marketing,Male,Sales Executive,2,Married,6825,No,3,10,3,9
29,44,No,Travel_Rarely,Research & Development,7,MS,Medical,Female,Healthcare Representative,4,Married,10248,No,3,24,3,22
30,46,No,Travel_Rarely,Sales,2,MS,Marketing,Female,Manager,1,Single,18947,No,3,22,2,2
31,33,No,Travel_Rarely,Research & Development,2,BS,Medical,Male,Laboratory Technician,4,Single,2496,No,3,7,3,1
32,44,No,Travel_Rarely,Research & Development,10,MS,Other,Male,Healthcare Representative,4,Married,6465,Yes,3,9,4,4
33,30,No,Travel_Rarely,Research & Development,9,FSc,Medical,Male,Laboratory Technician,3,Single,2206,No,3,10,3,10
34,39,Yes,Travel_Rarely,Sales,5,BS,Technical Degree,Male,Sales Representative,4,Married,2086,No,3,19,4,1
35,24,Yes,Travel_Rarely,Research & Development,1,BS,Medical,Male,Research Scientist,4,Married,2293,Yes,3,6,2,2
36,43,No,Travel_Rarely,Research & Development,2,FSc,Medical,Female,Research Scientist,3,Divorced,2645,No,3,6,2,5
37,50,Yes,Travel_Rarely,Sales,3,FSc,Marketing,Male,Sales Representative,3,Married,2683,Yes,3,3,3,3
38,35,No,Travel_Rarely,Sales,2,BS,Marketing,Female,Sales Representative,4,Married,2014,No,3,2,3,2
39,36,No,Travel_Rarely,Research & Development,5,MS,Life Sciences,Female,Research Scientist,1,Married,3419,Yes,3,6,4,1
40,33,No,Travel_Frequently,Sales,1,BS,Life Sciences,Female,Sales Executive,1,Married,5376,No,3,10,3,5
41,35,No,Travel_Rarely,Research & Development,4,FSc,Other,Male,Laboratory Technician,4,Divorced,1951,No,3,1,3,1
42,27,No,Travel_Rarely,Research & Development,2,MS,Life Sciences,Female,Laboratory Technician,1,Divorced,2341,No,3,1,3,1
43,26,Yes,Travel_Rarely,Research & Development,25,BS,Life Sciences,Male,Laboratory Technician,3,Single,2293,No,3,1,2,1
44,27,No,Travel_Frequently,Sales,8,BS,Life Sciences,Male,Sales Executive,3,Single,8726,No,3,9,3,9
45,30,No,Travel_Frequently,Research & Development,1,FSc,Medical,Female,Laboratory Technician,4,Single,4011,No,4,12,3,12
46,41,Yes,Travel_Rarely,Research & Development,12,BS,Technical Degree,Female,Research Director,3,Married,19545,No,3,23,3,22
47,34,No,Non-Travel,Sales,23,MS,Marketing,Male,Sales Executive,3,Single,4568,No,4,10,3,9
48,37,No,Travel_Rarely,Research & Development,19,FSc,Life Sciences,Male,Research Scientist,2,Married,3022,No,4,8,3,1
49,46,No,Travel_Frequently,Sales,5,MS,Marketing,Male,Sales Executive,4,Single,5772,Yes,4,14,3,9
50,35,No,Travel_Rarely,Research & Development,8,Matric,Life Sciences,Male,Laboratory Technician,4,Married,2269,No,3,1,3,1
51,48,Yes,Travel_Rarely,Research & Development,1,FSc,Life Sciences,Male,Laboratory Technician,3,Single,5381,Yes,3,23,3,1
52,28,Yes,Travel_Rarely,Research & Development,5,MS,Technical Degree,Male,Laboratory Technician,3,Single,3441,Yes,3,2,2,2
53,44,No,Travel_Rarely,Sales,1,PHD,Marketing,Female,Sales Executive,1,Divorced,5454,Yes,4,9,2,4
54,35,No,Non-Travel,Research & Development,11,FSc,Medical,Male,Healthcare Representative,1,Married,9884,Yes,3,10,3,4
55,26,No,Travel_Rarely,Sales,23,BS,Marketing,Female,Sales Executive,4,Married,4157,Yes,3,5,2,2
56,33,No,Travel_Frequently,Research & Development,1,FSc,Life Sciences,Female,Research Director,4,Single,13458,Yes,3,15,3,15
57,35,No,Travel_Frequently,Sales,18,PHD,Life Sciences,Male,Sales Executive,1,Married,9069,No,4,9,2,9
58,35,No,Travel_Rarely,Research & Development,23,MS,Medical,Female,Laboratory Technician,1,Married,4014,Yes,3,4,3,2
59,31,No,Travel_Rarely,Research & Development,7,MS,Life Sciences,Male,Laboratory Technician,4,Divorced,5915,No,4,10,2,7
60,37,No,Travel_Rarely,Research & Development,1,MS,Life Sciences,Male,Manufacturing Director,3,Divorced,5993,No,3,7,4,7
61,32,No,Travel_Rarely,Research & Development,1,BS,Medical,Male,Manufacturing Director,4,Married,6162,Yes,4,9,3,9
62,38,No,Travel_Frequently,Research & Development,29,PHD,Life Sciences,Female,Laboratory Technician,4,Single,2406,No,3,10,3,10
63,50,No,Travel_Rarely,Research & Development,7,FSc,Medical,Female,Research Director,3,Divorced,18740,Yes,3,29,2,27
64,59,No,Travel_Rarely,Sales,25,BS,Life Sciences,Female,Sales Executive,1,Single,7637,No,3,28,2,21
65,36,No,Travel_Rarely,Research & Development,8,BS,Technical Degree,Female,Healthcare Representative,3,Divorced,10096,No,3,17,3,17
66,55,No,Travel_Rarely,Research & Development,8,BS,Medical,Female,Manager,3,Divorced,14756,Yes,3,21,3,5
67,36,No,Travel_Frequently,Research & Development,11,BS,Life Sciences,Male,Manufacturing Director,2,Single,6499,No,3,6,3,6
68,45,No,Travel_Rarely,Research & Development,7,BS,Life Sciences,Male,Research Scientist,1,Divorced,9724,No,3,25,3,1
69,35,No,Travel_Frequently,Research & Development,1,BS,Medical,Male,Research Scientist,1,Married,2194,No,3,5,2,3
70,36,Yes,Travel_Rarely,Research & Development,9,BS,Medical,Male,Research Scientist,3,Married,3388,Yes,3,2,2,1
71,59,No,Travel_Frequently,Sales,1,Matric,Life Sciences,Female,Sales Executive,3,Single,5473,No,3,20,2,4
72,29,No,Travel_Rarely,Research & Development,2,BS,Life Sciences,Male,Research Scientist,2,Married,2703,No,4,6,3,5
73,31,No,Travel_Rarely,Research & Development,1,MS,Medical,Male,Research Scientist,2,Single,2501,No,3,1,3,1
74,32,No,Travel_Rarely,Research & Development,1,BS,Life Sciences,Male,Research Scientist,2,Married,6220,No,3,10,3,10
75,36,No,Travel_Rarely,Research & Development,6,BS,Life Sciences,Female,Laboratory Technician,4,Married,3038,No,3,5,3,1
76,31,No,Travel_Rarely,Research & Development,8,MS,Life Sciences,Female,Manufacturing Director,4,Single,4424,No,4,11,3,11
77,35,No,Travel_Rarely,Sales,1,MS,Marketing,Male,Sales Executive,1,Single,4312,No,3,16,3,15
78,45,No,Travel_Rarely,Research & Development,6,MS,Other,Male,Research Director,1,Married,13245,Yes,3,17,4,0
79,37,No,Travel_Rarely,Research & Development,7,MS,Medical,Male,Research Director,3,Single,13664,No,3,16,4,5
80,46,No,Travel_Rarely,Human Resources,5,FSc,Medical,Male,Human Resources,2,Divorced,5021,Yes,4,16,3,4
81,30,No,Travel_Rarely,Research & Development,1,Matric,Life Sciences,Male,Laboratory Technician,4,Married,5126,Yes,3,10,2,10
82,35,No,Travel_Rarely,Research & Development,1,BS,Medical,Male,Research Scientist,3,Single,2859,No,3,6,3,6
83,55,No,Travel_Rarely,Sales,1,FSc,Life Sciences,Male,Sales Executive,4,Married,10239,No,3,24,3,1
84,38,No,Non-Travel,Research & Development,6,BS,Medical,Female,Research Scientist,4,Divorced,5329,Yes,3,17,3,13
85,34,No,Travel_Rarely,Research & Development,1,FSc,Medical,Male,Manufacturing Director,2,Married,4325,No,3,5,3,5
86,56,No,Travel_Rarely,Research & Development,7,BS,Life Sciences,Male,Manufacturing Director,4,Single,7260,No,3,37,2,6
87,23,No,Travel_Rarely,Sales,2,Matric,Technical Degree,Male,Sales Representative,1,Divorced,2322,No,3,3,3,0
88,51,No,Travel_Rarely,Research & Development,9,MS,Life Sciences,Male,Laboratory Technician,4,Married,2075,No,4,10,3,4
89,30,No,Travel_Rarely,Research & Development,2,BS,Life Sciences,Male,Healthcare Representative,4,Married,4152,No,3,11,3,11
90,46,Yes,Travel_Rarely,Sales,9,FSc,Medical,Male,Sales Executive,4,Single,9619,No,3,9,3,9
91,40,No,Travel_Frequently,Research & Development,1,MS,Life Sciences,Male,Healthcare Representative,2,Married,13503,No,4,22,2,22
92,51,No,Travel_Rarely,Sales,21,MS,Marketing,Male,Sales Executive,4,Single,5441,Yes,4,11,1,10
93,30,No,Travel_Rarely,Sales,4,FSc,Medical,Female,Sales Executive,2,Divorced,5209,Yes,3,11,2,11
94,46,No,Travel_Frequently,Research & Development,1,BS,Medical,Male,Healthcare Representative,1,Married,10673,Yes,3,21,2,10
95,32,No,Travel_Rarely,Sales,6,MS,Medical,Male,Sales Executive,3,Single,5010,No,3,12,3,11
96,54,No,Travel_Rarely,Research & Development,2,MS,Technical Degree,Female,Research Director,3,Married,13549,No,3,16,1,4
97,24,No,Travel_Rarely,Sales,3,FSc,Other,Female,Sales Executive,3,Married,4999,No,4,4,2,3
98,28,No,Non-Travel,Sales,4,BS,Medical,Male,Sales Executive,3,Married,4221,No,3,5,4,5
99,58,No,Travel_Rarely,Sales,10,MS,Medical,Male,Sales Executive,3,Single,13872,No,3,38,2,37
100,44,No,Non-Travel,Research & Development,23,BS,Medical,Male,Laboratory Technician,2,Married,2042,No,3,17,4,3
101,37,Yes,Travel_Rarely,Human Resources,6,MS,Human Resources,Male,Human Resources,1,Divorced,2073,Yes,4,7,3,3
102,32,No,Travel_Rarely,Research & Development,1,Matric,Life Sciences,Male,Research Scientist,1,Single,2956,No,3,1,3,1
